cluster,term,root.lemma_,label_,term_count,term_source_freq
2,the odd,odd,NNS,1,0.047619047619047616
2,gallup,gallup,NNP,1,0.047619047619047616
2,face mask use,use,NN,1,0.047619047619047616
2,more than 60 percent,percent,NN,1,0.047619047619047616
2,world share,share,NNS,1,0.047619047619047616
2,investor focus,focus,NNP,1,0.047619047619047616
2,us stimulus,stimulus,NNP,1,0.047619047619047616
2,a seasonal cycle,cycle,NN,1,0.047619047619047616
2,g-7 nation,nation,NNS,1,0.047619047619047616
2,1b vaccine dose,dose,NNS,1,0.047619047619047616
2,analysis | power,power,NN,4,0.047619047619047616
2,nearly half the senate,senate,NNP,1,0.047619047619047616
2,high - risk age group,group,NN,1,0.047619047619047616
2,cdc chief,chief,NNP,1,0.047619047619047616
2,covid-19 mask mandates,mandates,NNPS,1,0.047619047619047616
2,person,person,NN,4,0.09523809523809523
2,u.s. senate showdown,showdown,NNP,1,0.047619047619047616
2,final week,week,NNS,1,0.047619047619047616
2,ministry,ministry,NN,1,0.047619047619047616
2,hanke ’s inflation dashboard,dashboard,NNP,1,0.047619047619047616
2,official statistic,statistic,NNS,1,0.047619047619047616
2,real inflation rate,rate,NNS,1,0.047619047619047616
2,4 nations fast - track review,review,NNP,1,0.047619047619047616
2,modified covid vaccines,vaccines,NNPS,1,0.047619047619047616
2,k-12 schooling,schooling,NN,1,0.047619047619047616
2,k,k,NN,1,0.047619047619047616
2,grade,grade,NN,1,0.047619047619047616
2,facebook,facebook,NNP,2,0.09523809523809523
2,fake anti - chinese post,post,NNP,1,0.047619047619047616
2,spa shooting,shooting,NNP,1,0.047619047619047616
2,suspect robert long,long,NNP,1,0.047619047619047616
2,chicago river,river,NNP,1,0.047619047619047616
2,city ’s mayor,mayor,NN,1,0.047619047619047616
2,serbia ’s vučić,vučić,NNP,1,0.047619047619047616
2,poll win,win,NN,1,0.047619047619047616
2,white house talk,talk,NNS,1,0.047619047619047616
2,kosovo,kosovo,NNP,1,0.047619047619047616
2,factbox,factbox,NNP,2,0.047619047619047616
2,country,country,NNS,1,0.047619047619047616
2,while some lose,lose,NNP,1,0.047619047619047616
2,confidence,confidence,NN,1,0.047619047619047616
2,2 new covid-19 case,case,NNS,1,0.047619047619047616
2,indiana,indiana,NNP,2,0.047619047619047616
2,state 's total,total,NN,1,0.047619047619047616
2,an unnecessary middle eastern crisis,crisis,NN,1,0.047619047619047616
2,virus news,news,NNP,1,0.047619047619047616
2,uri,uri,NNP,1,0.047619047619047616
2,frats,frats,NNPS,1,0.047619047619047616
2,sorority,sorority,NNS,1,0.047619047619047616
2,shelter,shelter,NNP,1,0.047619047619047616
2,possible political thaw,thaw,NN,1,0.047619047619047616
2,midlands woman,woman,NN,1,0.047619047619047616
2,cornwall,cornwall,NNP,1,0.047619047619047616
2,£ 200 renovate caravan,caravan,NN,1,0.047619047619047616
2,alabama lieutenant governor tests positive,positive,NNP,1,0.047619047619047616
2,variant,variant,NNS,1,0.047619047619047616
2,uk travel,travel,NN,1,0.047619047619047616
2,hiqa,hiqa,NNP,1,0.047619047619047616
2,vaccine goal,goal,NN,1,0.047619047619047616
2,first 100 day,day,NNS,1,0.047619047619047616
2,california,california,NNP,7,0.19047619047619047
2,7 k people,people,NNPS,1,0.047619047619047616
2,new virus,virus,NNP,1,0.047619047619047616
2,record coronavirus hospitalization,hospitalization,NNS,1,0.047619047619047616
2,health care worker,worker,NNS,1,0.047619047619047616
2,almost 400 covid-19 outbreak,outbreak,NNS,1,0.047619047619047616
2,nursing home,home,NNS,1,0.047619047619047616
2,sam,sam,NNP,1,0.047619047619047616
2,the trinity fox,fox,NN,1,0.047619047619047616
2,birth,birth,NN,1,0.047619047619047616
2,five cub,cub,NNS,1,0.047619047619047616
2,campus ground,ground,NNS,1,0.047619047619047616
2,price surge,surge,NN,1,0.047619047619047616
2,new attack,attack,NNS,1,0.047619047619047616
2,warning,warning,NN,1,0.047619047619047616
2,' economic meltdown,meltdown,NN,1,0.047619047619047616
2,kildare,kildare,NNP,1,0.047619047619047616
2,next trump - biden,biden,NNP,1,0.047619047619047616
2,oct.,oct.,NNP,2,0.09523809523809523
2,us rep. roger marshall,marshall,NNP,1,0.047619047619047616
2,doc,doc,NNP,1,0.047619047619047616
2,ballot,ballot,NN,2,0.09523809523809523
2,trump caps judiciary remake,remake,NNP,1,0.047619047619047616
2,choice,choice,NN,1,0.047619047619047616
2,barrett,barrett,NNP,1,0.047619047619047616
2,lebanon ’s migrant worker ’ plight,plight,NN,1,0.047619047619047616
2,amazon,amazon,NNP,3,0.14285714285714285
2,covid-19 - relate cost,cost,NNS,1,0.047619047619047616
2,rest,rest,NN,1,0.047619047619047616
2,new leader,leader,NNS,1,0.047619047619047616
2,new era,era,NN,1,0.047619047619047616
2,us - israel relation,relation,NNS,1,0.047619047619047616
2,crossroad,crossroad,NNS,1,0.047619047619047616
2,obama,obama,NNP,1,0.047619047619047616
2,virtual commencement event,event,NNS,1,0.047619047619047616
2,grad,grad,NNS,1,0.047619047619047616
2,military aide,aide,NN,1,0.047619047619047616
2,white house,house,NNP,2,0.09523809523809523
2,study,study,NN,4,0.14285714285714285
2,us ski areas,areas,NNPS,1,0.047619047619047616
2,n.c.,n.c.,NNP,1,0.047619047619047616
2,porn,porn,NN,1,0.047619047619047616
2,viral scares,scares,NNP,1,0.047619047619047616
2,years,years,NNPS,1,0.047619047619047616
2,health highlights,highlights,NNPS,2,0.047619047619047616
2,familiar tactic,tactic,NNS,1,0.047619047619047616
2,inter,inter,NNP,1,0.047619047619047616
2,inzaghi,inzaghi,NNP,1,0.047619047619047616
2,hospitalization,hospitalization,NNS,1,0.047619047619047616
2,holiday,holiday,NNS,1,0.047619047619047616
2,his ground campaign,campaign,NN,1,0.047619047619047616
2,bipartisan restriction,restriction,NNS,1,0.047619047619047616
2,his signature,signature,NN,1,0.047619047619047616
2,sanders,sanders,NNP,3,0.14285714285714285
2,trump 's handling,handling,NN,1,0.047619047619047616
2,new roadmap,roadmap,NN,1,0.047619047619047616
2,analyst,analyst,NNS,1,0.047619047619047616
2,this time,time,NN,1,0.047619047619047616
2,british airways ' parent,parent,NNP,1,0.047619047619047616
