,cluster,term,label_,term_count,term_source_freq
345,0,Vaxxapalooza,PERSON,1,0.034482758620689655
346,0,James Corbett,PERSON,1,0.034482758620689655
347,0,James Evan Pilato,PERSON,1,0.034482758620689655
348,0,Yale,ORG,2,0.06896551724137931
349,0,Finnish,NORP,1,0.034482758620689655
350,0,Tony Blair,PERSON,1,0.034482758620689655
351,0,Toronto Children’s Hospital Recommends Back to School without Masks or Social Distancing,ORG,1,0.034482758620689655
352,0,IMF,ORG,2,0.034482758620689655
353,0,the American Police State Will Continue,ORG,1,0.034482758620689655
354,0,The London Real Collection,ORG,1,0.034482758620689655
355,0,Universal Lockdown,WORK_OF_ART,1,0.034482758620689655
356,0,Oregon,GPE,2,0.06896551724137931
357,0,Dutch Authorities ‘Losing Their Grip on Society,ORG,1,0.034482758620689655
358,0,Corbett,PERSON,1,0.034482758620689655
359,0,Highwire,PERSON,2,0.034482758620689655
360,0,California,GPE,5,0.13793103448275862
361,0,The Multi-Stage “,ORG,1,0.034482758620689655
362,0,Reopenings,PRODUCT,1,0.034482758620689655
363,0,Coronavirus Exposes,PERSON,1,0.034482758620689655
364,0,Hong Kong’s,GPE,1,0.034482758620689655
365,0,Black Mirror Creator,ORG,1,0.034482758620689655
366,0,Trafalgar Square,FAC,1,0.034482758620689655
367,0,Kate Shemirani,PERSON,1,0.034482758620689655
368,0,Cuomo Threatens To FINE,PERSON,1,0.034482758620689655
369,0,Will Help States,GPE,1,0.034482758620689655
370,0,NIH,ORG,4,0.13793103448275862
371,0,Funding Wuhan Lab,ORG,1,0.034482758620689655
372,0,Health Care Worker,ORG,1,0.034482758620689655
373,0,Orange County,GPE,1,0.034482758620689655
374,0,Four Days,DATE,1,0.034482758620689655
375,0,90+%,CARDINAL,1,0.034482758620689655
376,0,10 days,DATE,1,0.034482758620689655
377,0,Guinea,GPE,1,0.034482758620689655
378,0,Sanders,PERSON,1,0.034482758620689655
379,0,Internal Iowa Caucus Numbers,ORG,1,0.034482758620689655
380,0,3 More Months,DATE,1,0.034482758620689655
381,0,Black Business Owners Protect Stores With,ORG,1,0.034482758620689655
382,0,GOP,ORG,2,0.06896551724137931
383,0,51,CARDINAL,1,0.034482758620689655
384,0,Palestinian,NORP,1,0.034482758620689655
385,0,East Jerusalem,GPE,1,0.034482758620689655
386,0,Miami Herald Columnist,ORG,1,0.034482758620689655
387,0,Cuomo’s Lockdown,ORG,1,0.034482758620689655
388,0,KGB,ORG,1,0.034482758620689655
389,0,Take Your Commie Sh*t Elsewhere,WORK_OF_ART,1,0.034482758620689655
390,0,Rosa Parks,PERSON,1,0.034482758620689655
391,0,Shelley Luther,PERSON,1,0.034482758620689655
392,0,Save Her Business and Feed Her Children!,ORG,1,0.034482758620689655
393,0,Merkel,PERSON,1,0.034482758620689655
394,0,Beijing,GPE,2,0.06896551724137931
395,0,decades,DATE,2,0.06896551724137931
396,0,today,DATE,1,0.034482758620689655
397,0,tomorrow,DATE,1,0.034482758620689655
398,0,Media Conveniently “Forgets,ORG,1,0.034482758620689655
399,0,Donald Trump Sends,PERSON,1,0.034482758620689655
400,0,MAGA Hat,ORG,1,0.034482758620689655
401,0,15-Year,DATE,1,0.034482758620689655
402,0,New Orleans,GPE,1,0.034482758620689655
403,0,Transportation of Firearms,ORG,1,0.034482758620689655
404,0,Dutch Government Ditches,ORG,1,0.034482758620689655
405,0,World,ORG,1,0.034482758620689655
406,0,Ten,CARDINAL,1,0.034482758620689655
407,0,Coming Later this Summer,WORK_OF_ART,1,0.034482758620689655
