source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
healthnutnews,0.0,0,Health Nut News,USA,https://www.healthnutnews.com,conspiracy,,0.0,,5.0,5.0
healthsciencesinstitute,1.0,0,Health Sciences Institute,USA,https://hsionline.com/,conspiracy,,1.0,,1.0,5.0
healthyfoodhouse,1.0,0,Healthy Food House,Macedonia,https://www.healthyfoodhouse.com/,conspiracy,,1.0,,2.0,5.0
healthyholisticliving,1.0,0,Healthy Holistic Living,USA (44/180 Press Freedom),https://www.healthy-holistic-living.com,conspiracy,,1.0,Website,3.0,5.0
heraldsun,3.0,0,Herald-Sun,Australia,https://www.heraldsun.com.au/,right-center,rightcenter,3.0,,,
hotair,3.0,0,Hot Air,USA,https://hotair.com,right,right,3.0,,,
huffingtonpost,2.0,0,Huffington Post (HuffPost),USA (44/180 Press Freedom),https://www.huffpost.com/,left,left,2.0,Website,,
humansarefree,1.0,0,Humans Are Free,USA,http://humansarefree.com/,conspiracy,,1.0,,5.0,5.0
iceagenow,1.0,0,Ice Age Now,USA,https://www.iceagenow.info,conspiracy,,1.0,,4.0,5.0
ihealthtube,1.0,0,iHealthtube,USA,https://www.ihealthtube.com,conspiracy,,1.0,,3.0,5.0
iheartintelligence,2.0,0,I Heart Intelligence,Bulgaria,https://iheartintelligence.com/,conspiracy,,2.0,,1.0,2.0
illuminatiwatcher,1.0,0,Illuminati Watcher,USA,https://illuminatiwatcher.com/,conspiracy,,1.0,,4.0,3.0
independentsciencenews,2.0,0,Independent Science News,USA (44/180 Press Freedom),https://www.independentsciencenews.org,conspiracy,,2.0,Website,2.0,3.0
inews,4.0,0,iNews,United Kingdom,https://inews.co.uk/,leftcenter,leftcenter,4.0,,,
infiniteunknown,1.0,0,Infinite Unknown,Unknown,https://www.infiniteunknown.net/,conspiracy,,1.0,,5.0,4.0
infowars,0.0,0,Infowars-Alex Jones,USA (45/180 Press Freedom),http://www.infowars.com/,conspiracy,,0.0,TV Station,5.0,4.0
inquisitr,2.0,0,Inquisitr,USA,https://www.inquisitr.com/news/,leftcenter,leftcenter,2.0,,,
insidescience,4.0,1,Inside Science,USA,https://www.insidescience.org,pro-science,,4.0,,,
intellihub,1.0,0,Intellihub,USA,https://www.intellihub.com/,conspiracy,,1.0,,4.0,4.0
internationalbusinesstimes,2.0,0,International Business Times,USA (44/180 Press Freedom),https://www.ibtimes.com/,leftcenter,leftcenter,2.0,Website,,
investmentwatchblog,2.0,0,Investment Watch Blog,USA,https://www.investmentwatchblog.com/,conspiracy,,2.0,,4.0,2.0
